2017/08/21	現在は、米国のEdgeCastNetworksのCDNノー ...	西田	2016/08/08 05:40:22	03-6234-0082	現在は、米国のEdgeCastNetworksのCDNノードを使用している。	
2016/08/08	OperationalInsightsは、Azure上の仮想マシ...	西田	2016/08/08 11:37:41	03-6234-0241	OperationalInsightsは、Azure上の仮想マシンや、オンプレミスのWindowsサーバー、またその上で動作しているSharePointやExchangeといったサーバーアプリケーションのログを収集し、分析を行うサービスだ。&kエージェントプログラムやSystemCenterOperationsManagerと連携し、専用のダッシュボードを使用してWebアプリケーションやスマートフォン向けのアプリケーションからAzure環境や既存のオンプレミスのシステムの監視や分析を行うことができる。	
2016/08/11	Searchは全文検索をするためのサービスだ。...	坂田	2016/08/09 11:28:49	03-6234-0363	Searchは全文検索をするためのサービスだ。&k開発者が検索対象のデータを追加またはSQLDatabaseなどと連携しインポートすれば、インデックスの生成やスコアリングなどを自動的にAzureSearch側で行ってくれる。&kアプリケーションからはRESTAPI経由でキーワード検索やファセット（＝複数の付加情報）による絞り込み検索を行えるので、容易にアプリケーションに全文検索や絞り込み、オートコンプリートのような高度な検索機能を追加可能だ。	
2016/08/09	SQLDatabaseは、Azureが提供するSQLServer ...	坂田	2016/08/10 08:48:37	03-6234-0781	SQLDatabaseは、Azureが提供するSQLServerをベースとしたRDBMSのサービスだ。&k利用者は、サーバーの管理にとらわれず、アプリケーションの開発に専念できる。&kまた、使い慣れた開発手法や管理ツールなどはそのまま利用できるなど、基本的なRDBMSとしての機能はSQLServerと同様だが、マルチテナントであることやサーバーの管理はマイクロソフトが行うため、一部機能やパフォーマンスには制限がかけられている。	
2016/08/23	すでに知っているという皆さまも、日進月歩...	坂田	2016/08/10 20:26:53	03-6234-0141	すでに知っているという皆さまも、日進月歩のクラウドの世界、最新の情報を本稿で確認し、拡充されたサービスをぜひ知っていただきたい。	
2016/08/15	TrafficManagerは、ワールドワイドで負荷分...	坂田	2016/08/11 08:08:51	03-6234-0619	TrafficManagerは、ワールドワイドで負荷分散やWebアプリケーションの冗長化を行うことができるサービスだ。&k複数のAzure上のWebAppsやMobileApps、クラウドサービスまたは他のURLを、よりクライアントに近いデータセンターへ振り分けたり、ラウンドロビンで分散させたり、障害が発生した際に、登録した別のデータセンター上のアプリケーションへフェールオーバーしたりできる。	
2016/08/20	オンプレミスなどで使用するWindowsServer ...	坂田	2016/08/12 01:29:07	03-6234-0256	オンプレミスなどで使用するWindowsServerのActiveDirectoryDomainServiceと異なりLDAPやドメイン参加といった機能は有していない。	
2016/08/27	クライアント側の開発も各プラットフォーム...	坂田	2016/08/12 20:37:45	03-6234-0932	クライアント側の開発も各プラットフォームのネイティブ向けSDKが提供されており、サンプルも含め、すぐに開発を始めることが可能だ。&kまたHTML／JavaScriptやXamarin、PhoneGap（Cordova）にも対応している。	
2016/08/18	VisualStudioOnlineはソースコード管理やタ...	坂田	2016/08/13 06:14:09	03-6234-0826	VisualStudioOnlineはソースコード管理やタスク管理、テストの実行、継続的なインテグレーションや継続的なデプロイ、ロードテストなどを行うためのサービスだ。&k基本的にはMicrosoftTeamFoundationServerがベースとなっており、Azure上でマルチテナントとして提供されている。&kまたアプリケーションのパフォーマンス計測など状況を把握し、アラートを上げる「ApplicationInsights」と呼ばれる機能も含まれる。	
2017/08/31	AccessControlは認証のフェデレーションプ ...	坂田	2016/08/14 04:04:43	03-6234-0544	AccessControlは認証のフェデレーションプロバイダーとして機能し、MicrosoftアカウントやOpenIDなど複数の認証プロバイダーとクレームベース認証に対応したアプリケーションとの橋渡しを行うためのAzureActiveDirectoryに含まれるサービスだ。&kアプリケーション開発者は、各認証プロバイダーとの差異を考慮せず、AccessControlとの連携にのみ注力すればよく、利用者に複数の認証オプションを提供できる。	
2016/08/17	VirtualNetworkは、Azure上の仮想マシンや ...	坂田	2016/08/14 12:10:56	03-6234-0657	VirtualNetworkは、Azure上の仮想マシンやクラウドサービスが利用する内部的なネットワークを提供するサービスだ。&k仮想ネットワークを使用すると、仮想マシンのインスタンス間の通信を仮想的な内部ネットワーク上で行うことができる。&kまた、L2TP/IPSecを使用した「サイトtoサイトVPN」や、SSTPを使用した「ポイントtoサイトVPN」を構成し、オンプレミス環境やクライアントPCと接続することも可能だ。	
2016/08/07	NotificationHubsは、複数のプラットフォー...	坂田	2016/08/15 01:48:11	03-6234-0863	NotificationHubsは、複数のプラットフォーム上の大量のクライアントに短時間でプッシュ通知を送信できるサービスだ。&kWindowsストアアプリやWindowsPhone、iOS、Androidなどのプラットフォームやデバイス固有の処理を意識することなく、通知ハブのAPIを使用することで、簡単に特定端末や全体、またはタグによるセグメント分けされた対象にブロードキャストなプッシュ通知が行える。	
2016/08/16	VirtualMachinesは、Azure上でWindowsやLin...	坂田	2016/08/15 12:41:06	03-6234-0182	VirtualMachinesは、Azure上でWindowsやLinuxを動かすための、いわゆる“IaaS”だ。&kOSより下のレイヤーの部分はAzure側が提供し、利用者は自由にアプリケーションのインストールや構成を行える。&kまたSQLServerやOracleなど、あらかじめアプリケーションがインストールされたOSイメージ（＝VHDファイル）の使用や、利用者自ら構成したOSイメージをアップロードして使用することもできる。	
2016/08/12	ServiceBusは、サービス間やアプリケーショ...	坂田	2016/08/15 21:50:03	03-6234-0366	ServiceBusは、サービス間やアプリケーション間でメッセージの配信や接続を行うためのサービスで、複数の機能（具体的には下記の3つ）の総称だ。	
2016/08/22	BLOBストレージ上のデータのHDDへのエクス ...	坂田	2016/08/15 22:06:15	03-6234-0812	BLOBストレージ上のデータのHDDへのエクスポートやHDDからのインポートなども一部地域でサービスが開始されている。&k&k最近ではオンプレミスに設置するSANであるStorSimpleと連携し、BLOBストレージ上にデータを保護できるサービスも開始された。	
